,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AVERAGE GROSS WEEKLY EARNINGS 1997 - 2025,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Median and percentile gross weekly earnings for Adult Full-Time Employees in United Kingdom whose pay for the survey period was not affected by absence,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Adult Male,,,,,,,,,,Adult Female,,,,,,,,,,Male & Female Adult,,,,,,,,
 ,,10%,,25%,,50%,,75%,,90%,,10%,,25%,,50%,,75%,,90%,,10%,,25%,,50%,,75%,,90%
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,£,,£,,£,,£,,£,,£,,£,,£,,£,,£,,£,,£,,£,,£,,£
,, , ,,,,, , , , , , ,,,, ,,, , , , ,,,, ,,, 
ANNUAL SURVEY OF HOURS AND EARNINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,'..' - denotes figure unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,For this table the ASHE figures are GB only to allow comparision with the NES.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,"Source: Annual Survey of Hours and Earnings, ONS. 01633 456120",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,"Comparisons between 2022 and 2023 data should be treated with caution due to methodological changes applied from 2023 onwards that improved how we validate data, particularly for high earners among each occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
